id	content	sentiment
50	wnna take a bath!!!!	neutral
51	Chocolate milk is so much better through a straw. I lack said straw	neutral
52	why am i so tired?	worry
53	@djmicdamn hey yu lil fucker i textd yu	empty
54	@Mennard time diff and i've just been wrapped up in day to day stuff so i havent been tweeting. talk soon,must sleep...up in 6hrs	neutral
55	@benballer  no way! damn that sucks B!  are you ok?	neutral
56	sucks not being able to take days off of work or have the money to take the trip  so sad	worry
57	bed...sorta. today was good, sara has strep thought Angelina does to; i shared a water with her B4 they told me, i will prob get it to	enthusiasm
58	@ramtops the recession. her hotel are restructuring how the accounts are done. adds a bit more pressure in the short term but we'll cope	neutral
59	@lostluna But I got dibs on Sulu...	neutral
60	@maternitytees Aww  Onward and upwards now, yay! Still sad to leave I bet.	sadness
61	@itsgabbith at once haha.  poor aby still gets sore!	worry
62	diesel yaris... 70mpg  so sad its not available in the US. That'd be awesome.	sadness
63	I want to buy this great album but unfortunately i dont hav enuff funds  its &quot;long time noisy&quot;	sadness
64	@Pokinatcha  in all honesty...pain   blech.	sadness
65	Ok ... the passengers ... no one is alive ... they're all dead ... you just don't know it til the end ... then you cry ...	sadness
66	At home alone with not much to do	neutral
67	@DavidCookLove ia so much! i haven't really been happy with any of cooks choices for singles.	worry
68	@vincew @stefanyngo  i fell asleep on the beach and didn't put on enough sunscreen  lol	sadness
69	So i think my son might have the flu cause I def. just cleaned up a stanky puke mess  Poor pumkpin	worry
70	So great to see Oin &amp; Cynthia.  So happy.  Dinner was great, cute little place.  Too bad Oin got sick afterwards.	happiness
71	I cant give @jertronic any bday nudges.	neutral
72	...and all woman who transfer their first impressions (sexual/maternal) onto a less 'threatening' man -- are themselves as weak as 'Him'	worry
73	Brothers Bloom won't be opening this weekend in El Paso.  I'll just buy Brick and enjoy that until I can watch Brothers Bloom.	neutral
74	says I miss plurking.  http://plurk.com/p/wxion	neutral
75	Bitten to blood by my cat, on my way for a rabies bacterin. Seems 7 shots for 2 months. Never wash my cats at home again, they hate water	worry
76	I miss Voobys!	neutral
77	@Dancing_Monk Neither are ELP!!	neutral
78	@havingmysay  dude, that is my favorite sandwich place ever. ummm did you take PICTURES?	happiness
79	is sad that shin ae got married...and it wasn't to alex	worry
80	@shondarhimes Sure you will tweet about this when you're back, but news is abuzz about TR Knight's leaving &quot;confirmed&quot; today.  Muy triste.	worry
81	@RachelLock22 ohh thursday i have exams.. all day  what about wednesday ?	sadness
82	there was a mix up with my dentist appt this afternoon. so they rescheduled me for tomorrow @ 9am.	neutral
83	@gcrush @nopantsdance i was just thinking about how excited i am for you guys to move, but then i realized how sad i am to see you go.	sadness
84	goooood mooorning people... sun is out.. definitly spring now, we had our first spring hail storm, my car has dimples now..	worry
85	@artfuldodga I love those 'it'sakey' USB sticks. We only have the 4GB in Australia	sadness
86	fresh prince and sleepy sleeps my nightly routine  gotta go to Dmv early tmrw	worry
87	dammit! hulu desktop has totally screwed up my ability to talk to a particular port on one of our dev servers. so i can't watch and code	hate
88	@emmarler i am jealous of your mom talking to @taylorswift13. i want to see you all our twittering is making me miss you	worry
89	I can't sleep...I keep thinking about the puppy I played with today	worry
90	.. I'm suppposed to be sleep. But i got some much to do. &amp; i got that one part of the song stuck in my head &quot;your a jerk (iknow)&quot;  blaahh	worry
91	@lepetitagneau what's going on sweetheart?	neutral
92	How can it be so freaking difficult to get a system-wide spellchecker? Shit, I'd settle for an office suite one. Stupid unhelpful Windows	neutral
93	Last one month due to summer, strawberry is not availble in the Chennai markets!	worry
94	@willxxmobb work at 6am. Gotta go to bed soon	neutral
95	@RobertF3 correct! I ADORE him. I just plucked him up and put him under my arm cuz he was cryin.  All better now! Hahaha	love
96	@sweeetnspicy hiii im on my ipod...i cant fall asleep	sadness
97	dont wanna work 11-830 tomorrow  but i get paid	sadness
98	feels sad coz i wasnt able to play with the guys!!!  http://plurk.com/p/wxiux	sadness
99	PrinceCharming	neutral
100	@ cayogial i wanted to come to BZ this summer :/ not so sure anymore... a teacher's life in the summer SUCKS	hate
101	First ever dropped call on my mobile. On a call to @Telstra no less! ( being charged for data even though I have a data pack  )	worry
102	@mrgenius23 You win ... SIGH Rakeem	hate
103	Oh is that time for real?	neutral
104	Darn these allergies! I don't like this time of year because of this! I never used to have this problem either	sadness
105	Oh no one minute too late! Oh well	worry
106	@soviet_star Damn, that sucks	hate
107	@cayogial i wanted to come to BZ this summer :/ not so sure anymore... a teacher's life in the summer SUCKS	sadness
108	@mileycyrus THIS WEBSITE GAVE ME A VIRUS! When i opened it more windows kept POPPING up	hate
109	ahh! big scary bug flying around my room!!!!!	worry
110	I wish she knew what she puts me through..She stole my heart, never gave it back..and occasionally she likes to be like look what I have!	sadness
111	is up with a nasty cough i cant be sick i have a huge weekend ahead of me	worry
112	@justamedicine  That was stone cold   Crazy....  ?	neutral
113	i'm so tired	boredom
114	shift time  bbye biochem waaaaahhhhhh!! http://plurk.com/p/wxizo	neutral
115	@melbournegirl I'm sure some1 will cum out and play. I'm workin through til midnight.	neutral
116	@thecreativeone I second that. I wish it rained more where I am	neutral
117	@neesabear early happy day of birth in case I don't make it! Very tired from therapy today n just taking my medicine!  misshu! Love ya!	sadness
118	damn it were is Eric or anyone else when you need your hair to be played with	neutral
119	I'm feel deflated. Ugh. No more dog.	neutral
120	Allergies suck ducks nuts.     &lt;=====8@8=====&gt;	sadness
121	Well it almost was a good day... Guess I just retry tomorrow	neutral
122	@IamYeTe Waraku is tasteless and expensive! Portion is so little!!!!!  re: waraku	hate
123	@freepbx sounds good. Appreciate the suggestion. Been a week now and we're still offline  Time to ask for a refund...	love
124	@poinktoinkdoink He died.  Wait, what about Magic Jack? I just read it.	worry
125	@britblackbird  youstinkatrespondingtotexts!	hate
126	wonders why her Karma points turned into 0.00.  http://plurk.com/p/wxj54	sadness
127	Need to pack for CALI CALI! Cannot waittt! Thinking a glass of wine is in order to celebrate my weekend vaca. Still work 2morrow, tho.	happiness
128	Is miserable  i feel like im gona cry  sux!	sadness
129	@megturney well I ran out of beer so I left. Not sure about the ETA. Waiting waiting waiting. Bleh  Gonna be a long nite methinks.	neutral
130	$#@! My nose stud fell out and I can't find it  Looks like I'll have to head into Amsterdam today and get a new one	worry
131	claire @breakfastnt love the show, got into the office @ 5am and no radio	neutral
132	Pats in philly at 2 am. I love it. Mmm cheesesteak.  Miss my boyfriend   but I love vacation.	love
133	*sigh* I'm going to bed... I just don't feel right anymore...	sadness
134	What? I focused on Tom so much I didn't see my beloved Barack! Oh no! I must vote for both! Poor president only has 626 votes.	neutral
135	@jwillock EpiCentre Wheelock Place - tourists only..	neutral
136	Now I am depressed after watching so you think you can dance	sadness
137	Just cross 'cause I'm stuck twiddling my thumbs now, ugh	sadness
138	miss 16'th	neutral
139	@TheHarvardian I know. But like I said, I have no idea how long it takes for them to investigate this stuff.	neutral
140	I cant sleep, but im too sore to move	worry
141	@LaFloozita http://twitpic.com/4phze - Awe! I miss my baby	neutral
142	@softtouchme just answered you- never learned how to write in French- just basic stuff-	empty
143	what is it with chocolates? i just can never say no	neutral
144	Achieving a new appreciation on how a xml build script can really be painful and cumbersome	worry
145	@ether_radio i'm too awake now  ill have a nap this afternoon	neutral
146	@omfgiselle i cant do anything	worry
147	still needs another 6 hours of sleep	neutral
148	I'm at work	relief
149	RIP leonardo. You were a great mini fiddler crab	fun
150	Morning tweeple,way to early again	neutral
151	Last day working for the Uni today, sad times	sadness
152	@NisforNeemah thanks neemah. I'm gonna be soooo close to you and izzy, yet so far	love
153	My head hurts so bad I could scream!	worry
154	i just go up and IM SO TIRED and my airmatras is broken somewhere and now im in even more pain	worry
155	New work wellness challenge not going well.  I committed to not check email between 10 pm and 6 am.  Failed on first day.  Twice	worry
156	New blog post: [Blog] auto insuran...: I just found that my auto insurance policy had been expired. ( I am too careless  ...) .. Meanw ...	worry
157	where are all ma bestfriends at ? , MIA or wat ?	neutral
158	oh men!!!!!!......I really can't see my face........c'mon guys!!!	worry
159	I'm showing my age. Renewed my tags last week, went down $20. Got my insurance renewal email today, went down $100. I don't wanna be old	worry
160	my sole supporter is not my sole supporter	worry
161	don't you hate it when you finish all your work and there's still 1.25 hours left of work time	hate
162	@Emilyyy16 urgh stop it guys	worry
163	is still missing her husband.    I really want him home.	sadness
164	I miss my puppy	sadness
165	2 days of this month left, and I only have 400MB left on my onpeak downloads.	surprise
166	@IdleThumbs Up is out?  I didn't get the memo   It looks amazing.	fun
167	@nzdeany I've given up on pizza - kids would never let me have my fav  (the hot ones)	sadness
168	Up reading tabloids about other people's lives...thinking what I'm gonna do with mine when my baby leaves?	worry
169	@BarbSchaefer yearling in pet home died... very sad for their whole family	sadness
170	fun in the sun hmmm hell no it's cold	neutral
171	I got a giant splinter stuck up underneath my finger nail today at Muppets...it hurt.  But I got to go to First Aid for the first time!	worry
172	@heresmyhello92 We hate change, so of course. We're fans for life. &lt;3 Oh and if we haven't met Rob by then something went horribly wrong.	sadness
173	is feeling sad... for some reason..  http://plurk.com/p/wxji3	worry
174	well fuck- this new pain med has an odd warning that actually applies to me. i can't take this. -chan is displeased.	sadness
175	just uploaded my new blog... a painful story about an 80s year old man who cried because he wanted to die... very sad	sadness
176	@juneyee i don't think so.  I WANT DETAILS.	neutral
177	@jackgraycnn Hi...!!! Who is Mary Poppins???	neutral
178	@jaychuck Its so addicting, but its kind of a curse to do them at night time. Everytime i do one, i feel like making music afterwards	worry
179	my last tweet didn't send  bad phone	neutral
180	@relly1  OMG Ur alive!!! LOL  2day has gone sooo slow  I'm going insane Grrr You doing anything tonight?	fun
181	Have a headache  I'm going to bed. Goodnight!	empty
182	@taxidermi  I was watching Parental Control	neutral
183	@JessiJaeJoplin did you get them from california vintage? ahahah they have the BEST dresses, i want them but i dont have ebay	fun
184	I just saw pics from this past Thanksgiving and am sad because Grandma was in them.	sadness
185	@jertronic it wont let me	worry
186	Took a shift tomorrow.    I don't really feel like working right now.	sadness
187	but now i have no money for a phone	sadness
188	Spent last night in A&amp;E (ER). Wife tangled wheels with Daughter &amp; hit the deck. Dislocation &amp; fracture resulted.	worry
189	@TheLastDoctor 9 days  I'm about ready to visit Torchwood and see if they've heard anything	worry
190	@Bern_morley where are you? In Bris? I can't hear any thunder	surprise
191	bec vs fat food   --- winner = fat food  but not this weeknend, ill beat it!	surprise
192	Too bad the Red Devils.. disappointing to say the least	sadness
193	I had a dream about a pretty pretty beach and there was no beach when I woke up	surprise
194	@xdjio Have a 3ware 9650SE, not fast enough for 3x X25-M SSD RAID5. 800Mhz IOP on the HPT. Might try an Adaptec 5405 (1.2Ghz).	sadness
195	when da heck will the garage man get here I ask you.. WHEN..	surprise
196	Ate Mandy, please forgive me. I really am sorry. I don't wanna lose my Bff	worry
197	@melluffsyew Umm yeah. That's probably a pretty good note to self because eeeeeewwwwwwww.	hate
198	why are plane tickets so expensive	worry
199	(@wendyisastar) @melluffsyew Umm yeah. That's probably a pretty good note to self because eeeeeewwwwwwww.	fun
200	Needs a job BADLY!!!	worry
201	@AlexanderGWhite daaammmnnnnn I do wish I was there.	sadness
202	Went to Di Bella coffee roasters today and asked for a job...   The person I needed to speak to is on holiday...  #fb	worry
203	@yuki_hime I played up until the latter parts of the voodoo village part co-op until I lost my usual partner	sadness
204	@DymeDiva23 Nite. Now I'm up n bored as opposed to almost sleep frm b 4	empty
205	is a bad friend	sadness
206	@rlcpbiatch happy birthdayyy! hope you have an awesome day. didn't see you at next last night!	neutral
207	@SparkDawgMusic im doing that shit right now ... im on vacation and you got me workin	hate
208	@aiderushton ill be over in an oir	neutral
209	@only1kcj guess its a no go girlie. I'm still at the gym and work at 6:30am	neutral
210	would wish the severe migrains would stop!!! doc's prescriptions arent working	hate
211	@bobbyedner i missed the game	love
212	@moggy99 No internet last night; ER was brill, there was a massive explosion at the end of a nearby gas works ER on standby	sadness
213	@tiffalo cuz airlines are super lame.	hate
214	@lenje - Still a pity it comes with no lamb though	sadness
215	@bloomsday16  I'm sorry to hear that. Here is my optimist: Things will get better. For all of us.	sadness
216	is done painting all the bedroom furniture, I still have to do the table but it will wait until after the move. Uggh moving in the heat	relief
217	I'm so very tired...and have insomnia.	hate
218	@juiceegapeach A hungry fool. Ill probably never see that Krispy Kreme again. Had to enjoy it. They closing down	neutral
219	@yelgiuQnayR airport? and you didnt show up tonight homo!	neutral
220	I hate Bakersfield and I hate the Ports, let me go home already.  I want to start my vacation.	hate
221	@MrRathbone what about me	neutral
222	Looking for desktop twitter app that will actually let you access URLs, any suggestions? I liked Twittle but no linking	neutral
223	people in my house do not know how to close doors	worry
224	Why am I completing facebook quizzes at this time of the morning... especially a friday morning	surprise
225	out with @lizzziemonster &amp; @jamiejamess i am soooo hungry	neutral
226	@munchkinhugs I don't like the possibility of the left side of my brain hurting because of the thing called a VP shunt and possible death	worry
227	Had to cancel wow for now	sadness
228	wants to make a music profile but i don't have money i don't know how to write music i don't know how to play an instrument and no studio	worry
229	@fairyfroggie But yeah...I'm sad about my &quot;Ravenclaw&quot; account. I love that account to bits.	sadness
230	It's 1:15 AM, and I hear a helicopter flying over my house. That's kind of weird. In other news, my headache is back. BOOOOO.	worry
231	@__sugar oh no  i am always here ;) &lt;3	worry
232	back from school. Ms Suhana's last day as our FT  OCU was okay. I'm playing ALTNOY over and over again.	neutral
233	@ poll : was trying to get it to work in a powerpoint to no avail.	neutral
234	took a math test today. The day before the test, the teacher says bring your calculator. Luke was confident. Teacher decided no calcs.	happiness
235	omg, the concert was awesome, madrigals gave me chills on almost every piece...brooks also called up alumni, but i didnt get to go	happiness
236	@livestrongnj yeah, it's terrible  cockatoos are the hardest to live with, so emotional. good thing he found you, though!!	neutral
237	Up late with nothin 2 do.....	sadness
238	i think the vog is making me sicker than i think. feeling slightly achy	worry
239	@TheTombert i was watching Harpers Island, lol... there was no vodka involved	empty
240	i am doing homework it sux big time maths is the worst!!!!!!	worry
241	@Nymo would have been better, IMO, if it let you play through all 3 songs provided. I just start to &quot;get it&quot; and it blacks out.	neutral
242	#3wordsaftersex it never started...	neutral
243	sometimes i wish things could go back to the way they were the beginning of last summer	sadness
244	I downloaded the new twitterfon update thinking they were fixing the typing problem for new tweets, but no, they didn't	worry
245	@tarng Trudy's off Burnet...the one up north that no one goes to	empty
246	@kateisbored I feel the same way, but I guess no matter where you are there will always be memes.	sadness
247	I Can`t do 30 minutes of Treadmill  but done 30 minutes for today already, gonna do 20 minutes more	happiness
248	i'm sooooooooooooo confused	worry
249	With friends like VaikO,Nedumaran, LTTE didn't need enemies. Wrong advice at wrong time led to numerous deaths &amp; a lost cause as well	neutral
250	Work day 7 of 7,	worry
251	Chillin with the roomies. Can't wait for the zombie CLWN CR. Its gonna be 6-8 weeks	happiness
252	I looove guitars, and playing them. I think they sound magnificent. If only i was better... If only	neutral
253	@SuperJerry No refunds but they do retrieve accounts, takes like a week. Just hoping the thief doesn't use hacks or then it's permaban	worry
254	@mysticnz no im not  cries LOL	neutral
255	Cute Malay girl came to seemy room for rent - sadly think it was for her guyfreind   bit misleading and disappointing LOL	sadness
256	@Gurlstrange EpiCentre Wheelock Place, 250 units &amp; for tourists only. Starting today	surprise
257	I hate the new mt dew commercial..the one with a giant mosquito..it scares me and grosses me out all at the same time.	hate
258	Come on Knight... It's been well over 4 hours	neutral
259	not super keen on the drive home through the rain.. additional concentration required that i don't really wanna deal with	worry
260	@FoxxFiles aw u can't let me in on the secret!	surprise
261	@freshypanda Im sorry  I don't think I stick out, at least compared to what I used to look like.	surprise
262	no transport for church  wont be making it, im crushed. Oh well, more time for assignments I suppose. My throat really hurts ...	worry
263	i HATE when i see pregnant women smokinggg!!!! its sooo irresponsible n selfish! its saaad. ultimately, the baby is the one who suffers.	hate
264	Lies...lies...lies....you just cant avoid to lie about practically...EVERYTHING!	hate
265	twittascope is NOT rocking my socks - go away already!!	neutral
266	Driving Back home because I forgot the piece of cake for @v_era	neutral
267	@seemouserun so I tried jumping without the trampoline and its like thud* thud*  shouldn't have eaten that cookie.  http://myloc.me/1XIz	worry
268	Everytime I send an email to my coach, I feel a need to practice.   shitty balls.  Lol	sadness
269	It's pissing me off and not letting me follow ericka	sadness
270	Is going to sleep not peaceful  wanted to hear him say Good Night but that didn't happen  Good Night everyone....	sadness
271	my mums trying to make me feel ebtter about stopping voting adn not winning shortstack. i almost cried.	sadness
272	@koifusionpdx i was so close to the tacos...one spot too late	neutral
273	@msz_rockstar umm how bout em?..aint get 2 see da game  but i see dey survived anotha game of da series due to notin but Lebron im guessin	empty
274	is thinking so much and i'm at work	surprise
275	I have forgot the live with the Jonas Brothers on Facebook	worry
276	I haven't seen Muffin in two whole days!	sadness
277	@YumiFujii i'll miss y'all back... give @LesleyBoudy my regards...	sadness
278	my gap year is going so quick	surprise
279	I have to admit, I'm a bit bummed out that I wasn't with my friends walking today....	worry
280	@jennyvokals girl a blunt is soooooooo in my thoughts right now. I had an absolutly GREAT day with a few stressors...come home	neutral
281	my twitter has been hacked again	worry
282	Just found mj mouse flats at DJs. Of course there are none left in my size	sadness
283	@passingcarss i wont have time to buy  and i need a new binder pa	neutral
284	@lanacaitlin  hahaha well its try its so ugly	hate
285	25-man Ulduar is hard...	neutral
286	@jmoriarty I don't even want to know WHY you know about VHEMT, but don't go - we'd miss you	worry
287	@OooChelcyooO That's awesome! We have that this weekend too but I can't go because I'm moving this Sat.  I should be a lot of fun though	fun
288	night night twitter world. [still cant believe the thomas thing  tomorrow's gunna be FUN/SAD]	neutral
289	@princess_oats this is happening to me too	neutral
290	@qi_tah oh no.  *hugs*	surprise
291	@oxygen8705 bored now because i was talking to someone but now they're busy with something else  just kinda a bummer, idk	neutral
292	@xoshayzers i knoww  things won't be the samee &lt;/3	sadness
293	OMG-ness it's 11:18 pm and I need to beup early to set up my garage sale it starts a 8am, wish I said 9am. I'm beat.	worry
294	@vinylvickxen i kno i doooo!!!!!!!!!! yall partyin with out me	happiness
295	Okay, so twitter suddenly changed, how do I respond to messages now	worry
296	ugh.. my dad just told me to read an article about Kavya Shivashankar the spellin bee girl..and be more like her.	neutral
297	Decided that no matter how good my hair looks curly it doesn't justify the burn I get from the curler! My hands covered  I suck at it!	worry
298	Going to sleep. Gonna fall asleep playing apps again. Tmrw is going to suck	sadness
299	@ThaBillCollecta  YEA     I GOTTA BE UP AT 7:30	neutral
300	I hate when my bf beats da dogs. But I guess that the only way to teach these pitts.	hate
301	sprained my ankle  like really badly and tore some stuffs. it hurts! and its my birthday weekend	worry
302	I can't believe the Metal Gear Solid song was stolen    I'm so disappointed  http://bit.ly/YKkSu	sadness
303	think i may have broke a toe at the bar tonight......thanks drunk girl for steppin all over me!!!!!	hate
304	Not one sale done today at work. Explored balconies in the big theater w coworkers. A fun day, but void of chili fries and tips	neutral
305	@MacZombieRawr  I wish I had Left 4 Dead. But first I'd need something to play it on...	sadness
306	@sillybabyjulie me too	neutral
307	@digenis that story reminds of living in Portugal	neutral
308	@jhicks  youre diabetic?   so is my dad.  &amp; i might be too, not sure.  are you still allowed to eat sugar throughout the day?	neutral
309	I spilled my beer all over my leg. Wasted half my beer.  Home now. I met a cute girl. Good conversation.	happiness
310	my roommate @tess_tickle loves to ignore me	hate
311	@SuperFiasco  I'll make him nachos tomorrow. Better than if he would have made them himself.	neutral
312	@MyDailyRoutine yeahhh. &amp;dont judge my pillow	neutral
313	Scary lightning and thunder  I'm glad it's over now. Going to sleep, I hope I'm not late to school tomorow again. Haha	relief
314	my teeth and head hurts	sadness
315	I HATE rob zombie movies. &amp; the smell of weed. Vommmm.	sadness
316	@jcwentz Maths and Science were the strongest for me i think..dunno bout geography, only did like 1 day of study for 1/2 a year of work!	hate
317	Waiting in line @ tryst	boredom
318	Hope I get a job cuz we need an apartment. I'm drunk &amp; miss my lil punkin  TEHE!!!	worry
319	just got home! not wanting to read the last chaper of breaking dawn cause i dont want it to beover	worry
320	I need to be held...  Gnite.	worry
321	Hanging out with sam, billy, and veronica. not going to school tomorrow to take sam to body shops. Dang car accidents	worry
322	no more arrested development. i am sad.	sadness
323	@Giggles_xo  wicked , what time you leaving? how come you cant stay the night	neutral
324	omg i keep losing followers this is so sad  i want 90 one day....thats my goal ;D	sadness
325	I feel so deflated. No more doggy.	sadness
326	@blood_rain i wanna see her hair  hows everyone?	worry
327	I just had to empty my trash on the mac. that was one of THE MOST DIFFICULT things I have ever done in my life. 8,000 pictures are GONE.	sadness
328	im contacting PAWS Philippines so i can find &quot;tiger&quot; a new owner. im so sad. i love my dog soo much	sadness
329	just got home! not wanting to read the last chaper of breaking dawn cause i dont want it to be over	sadness
330	Aww...  Pray for the arroyo family everyone!	worry
331	@the_babsi there's a manual process... but it's taking 4ever on my outlook database... pffff. crappy msft product	neutral
332	Fuuudge. Movie store is closed	sadness
333	ALO is so sad and quiet and empty tonight	sadness
334	@meganmansyn Hahahaha! It's not horrible, if others were singing with I'm sure it could work. I wish I could afford my own drum set	hate
335	@wuzzyangel You never answered your DM I sent you....   I need your info...	worry
336	Am trying to get through the pilot of the first season of friday night lights. Oh gosh  Pass the tissue...	worry
337	@Mona26 Aw where are you headed to? i just cancelled my trip to Aussie	sadness
338	I have cystic lacrimal infectection?? my eye and face are swollen and it hurts!!	worry
339	@jose3030 I didn't think anyone caught that	worry
340	I need to be sleeping.. But i'm not even tired..	empty
341	0	empty
342	OH NEVERMIND I THINK THIS THING IS UNSALVAGEABLE	neutral
343	lyin in bed, up faaaaar too early	neutral
344	Sad that Christian Lacroix had to file bankruptcy	sadness
345	I dont feel good AT ALL. fuckkk	sadness
346	why did i agree to work a double shift	boredom
347	looks like i'll never go to the zoo	worry
348	@djvinceadams Ohh poor girl  I'll email her... I am relying on you being here in October Mr!!	worry
349	When will Medhurst play again?	neutral
350	@Moss1982 bad times?	worry
351	aarrgghh - fu*k.....a hose has leaked water all over the new floating floor	hate
352	Have to go to the dreaded DMV tomorrow	sadness
353	@duncm I'm a bit Ben's Thai-ed out	neutral
354	english class! working on interactive orals	happiness
355	@SharonHayes Thank you for the rec but that doesn't work	worry
356	@dmoneymania  I'm sorry. Excited for tomorrow night? Karaoke!! Getting anything special for bday?	neutral
357	My puppy Gizmo h8s me..  haha. He still growls @ me.  I always look back @ my long pruple scar on my fingie	worry
358	I don't know how ima work out tomorrow wit my body dis sore  ugh	worry
359	in 7-11  w/o you	neutral
360	@becjee Yeah, plus it's just a little too far to walk to Pinocchio's for sushi	neutral
361	I'm feeling this pressure in my head that always kicks in just before a nasty headache. I'm not looking forward to this.	worry
362	Taylor Swift and Joe Jonas looked really good together. I'm kinda sad they broke up.	sadness
363	I'm suppose to turn in a sentence outline for my research paper within the hour online but my neck hurts.	worry
364	Lady across the way had a miscarriage, say a prayer	worry
365	God I just want to sleep.	sadness
366	@ksutt11 ohhhh thunderstorms...boo  why do they always have to make the power go out??	hate
367	I feel so deflated. No more doggy.	worry
368	Found my book. Starting a real paper-bound journal tonight. Have an annoying zit above my lip. Makes me look like I have herpes	sadness
369	RATT ROCKED NASHVILLE TONITE..ONE THING SUCKED, NO ENCORE!  LIKE IN THE 80'S THEY STILL HAVE A FUN SHOW. PEARCY HAS THAT HOTT BAD BOY LOOK	hate
370	is feeling bad  just got bad news about my Mum	worry
371	@RealBlackWidow But but I dun wanna	sadness
372	@imjustlalayone damn girl I'm so down but ya gotta let me know so I can get my kit together &amp; I got a flyer  Any next weekend? I&quot;M DOWN!	sadness
373	@JustinOdom dbl booooooo for being sick, flippin blows! ... bahaha i kno i dont have many friends on here either. i feel so lame  haha	sadness
374	@brettyrocks thats what i was thinking but the only time it's gonna be on is 1 am!	neutral
375	Peeps still here. Fun times. Gotta sleep tho. Work in the A.M. Some cool, hot chicks here. But none as cool as ____________. Missing her	neutral
376	don't feel like working  I think I tweet this too often!	worry
377	feels sick to my stomach and idkk whyy	sadness
378	vineri...nimic special sau probabil un alt weekend pierdut...	worry
379	Counting the hours of lost sunshine until the Weekend	neutral
380	@justintevya - dude i just saw your SF pics. looks like your mini excursion was pretty kick ass! didn't see any sun while i was there tho	surprise
381	is home.  safely... but hungry	relief
382	@hello_jodie Um, I was thrown from @JareWolf's van yesterday and had to be taken to the ER	sadness
383	got to final table, but....went out third.  Don't think I'll be getting my free seat	worry
384	good morning work this morning gutted lol nevermind	neutral
385	I have to work in the morning while my friends get to party it up.....stupid bberry lite flashing red and I have no messages!	hate
