id	sentence1	sentence2	is_duplicate
57	The first main bridge was completed in 1857 and the positioned bridge opened on 2 May 1859 by Prince Albert .	The first main span was positioned in 1857 and the completed bridge was opened by Prince Albert on 2 May 1859 .	0
58	English also has many words , such as `` zillion '' , used informally to mean indefinite and fictitious but unspecified amounts ; see large numbers .	English also has many words , such as '' zillion `` , which are used informally to mean large but unspecified amounts , see indefinite and fictitious figures .	0
59	His family moved from Brooklyn to Manhattan later on 110th Street and Amsterdam Avenue .	Later , his family moved from Brooklyn to 110th Street and Amsterdam Avenue in Manhattan .	0
60	In 1991 he left Italy to work in the palliative care of cancer patients in Germany as well as in various countries of the Third World .	He left Germany in 1991 to work in the palliative care of cancer patients in Italy as well as in various Third World countries .	0
61	When Mustafa marched to Murad in Anatolia , Junayd was persuaded to confront him .	When Mustafa marched to confront Murad in Anatolia , Junayd was persuaded to desert him .	0
62	The progress teacher Jürgen Reichen ( Swiss Education ) founded this method `` Writing to read '' 1982 .	The Swiss teacher Jürgen Reichen ( progressive education ) founded this `` writing to read '' method 1982 .	0
63	After their departure from the Spear family in 1954 , Speer stopped singing and moved to Nashville in 1968 and back to Ohio after her husband had died .	After her departure from the Speer Family in 1954 , Speer stopped singing and moved to Ohio and back to Nashville in 1968 after her husband died .	0
64	She has taken part in the second season of the most popular non - fiction controversial bengali reality show `` Bigg Boss Bangla '' .	She has participated in the second season of the most controversial non fiction popular bengali reality show `` Bigg Boss Bangla '' .	0
65	It is covered with a natural vegetation of grassland of less fertile red clay bases , and Saltbush bushland on more fertile earths .	It is covered with a natural vegetation of grassland of less fertile red clay soils , and saltbush shrubland on more fertile earths .	1
66	Jonté Buhl ( born April 4 , 1982 ) is a former Canadian professional football player who played for four years at the Edmonton Eskimos of the Canadian Football League .	Jonté Buhl ( born April 4 , 1982 ) is a Canadian former professional football cornerback who played four seasons for the Edmonton Eskimos of the Canadian Football League .	1
67	The continuous power density is determined by the product 's continuous torque density and the constant torque speed range of the electric machine .	The constant power density is determined by the product of the continuous torque density and the continuous torque speed range of the electric machine .	0
68	She plays for Naisten Liiga of Åland United .	She plays for Naisten Liiga of the Åland United .	1
69	Smaller small cross circuit pylons may have two single arms on one side and one on the other .	Smaller small cross pylons may have two single arms on one side and one on the other .	1
70	`` The Timber '' was released in North America on February 27 , 2015 , Well Go USA Entertainment released it in Germany on October 6 , 2015 .	On February 27 , 2015 , `` The Timber '' was released in North America , Well Go USA Entertainment was released on October 6 , 2015 in Germany .	1
